SKU,Name,CategoryName,BrandName,Description,Price,AvailabilityStatusName
MQQ-2316-X,SPF 50 Sunscreen Lotion,Masks,HerbEssence,"Protect your skin from harmful UV rays with this non-greasy sunscreen, perfect for daily use.",3.99,In Stock
JUE-2708-A,Aloe & Cucumber Cooling Eye Gel,Sun Care,SmoothSilhouette,Cooling eye gel that reduces puffiness and soothes tired eyes.,39.99,Out of Stock
TAC-5245-EZ,Cocoa Butter Body Lotion,Cleansers,LushLocks,Deeply moisturizing lotion made with pure cocoa butter to soothe and soften skin.,39.99,Out of Stock
BNK-0858-X,Hydrating Aloe Vera Gel,Conditioner,HerbEssence,A soothing gel perfect for calming irritated skin and providing a boost of moisture.,1.29,In Stock
SJF-6950-D,Charcoal Pore Cleansing Mask,Sun Care,GlowSkin,A detoxifying mask formulated to purify and refine pores using activated charcoal.,2.99,Discontinued
DPN-6677-UL,Frizz-Control Hair Serum,Skincare,DynamicDepth,"A lightweight serum designed to smooth hair and eliminate frizz, leaving a sleek finish.",29.99,Out of Stock
RZH-7025-T,Cocoa Butter Body Lotion,Sun Care,HerbEssence,Deeply moisturizing lotion made with pure cocoa butter to soothe and soften skin.,3.99,In Stock
VNE-9554-NO,SPF 50 Sunscreen Lotion,Masks,TwirlTresses,"Protect your skin from harmful UV rays with this non-greasy sunscreen, perfect for daily use.",19.99,Out of Stock
OTU-5962-ID,Rose Water Facial Mist,Hair Care,HerbEssence,"A refreshing facial mist to hydrate skin and set makeup, infused with pure rose water.",49.99,Discontinued
LPM-3141-M,Charcoal Pore Cleansing Mask,Masks,DynamicDepth,A detoxifying mask formulated to purify and refine pores using activated charcoal.,22.99,Discontinued
UWF-2924-EN,Argan Oil Shampoo,Hair Care,LushLocks,"Enriched with argan oil, this shampoo nourishes and revitalizes dry, damaged hair.",24.99,Out of Stock
WNF-2527-V,SPF 50 Sunscreen Lotion,Hair Care,HerbalShine,"Protect your skin from harmful UV rays with this non-greasy sunscreen, perfect for daily use.",4.49,Discontinued
DYP-5541-QT,Hydrating Aloe Vera Gel,Hair Care,ClearCanvas,A soothing gel perfect for calming irritated skin and providing a boost of moisture.,4.49,Discontinued
KXX-3245-WN,Tea Tree Oil Scalp Treatment,Shampoo,SmoothSilhouette,An invigorating scalp treatment that reduces dandruff and promotes healthy hair growth.,4.89,Out of Stock
PWX-7978-OZ,Frizz-Control Hair Serum,Cleansers,HerbalShine,"A lightweight serum designed to smooth hair and eliminate frizz, leaving a sleek finish.",89.99,Discontinued
SFK-1659-VV,Aloe & Cucumber Cooling Eye Gel,Sun Care,GlowSkin,Cooling eye gel that reduces puffiness and soothes tired eyes.,2.49,Out of Stock
WNL-9232-CT,Aloe & Cucumber Cooling Eye Gel,Moisturizers,ZestGlow,Cooling eye gel that reduces puffiness and soothes tired eyes.,22.99,In Stock
XOQ-1592-SM,SPF 50 Sunscreen Lotion,Moisturizers,TwirlTresses,"Protect your skin from harmful UV rays with this non-greasy sunscreen, perfect for daily use.",39.99,In Stock
TYZ-9168-W,Rose Water Facial Mist,Masks,HerbEssence,"A refreshing facial mist to hydrate skin and set makeup, infused with pure rose water.",12.99,Out of Stock
HQX-3039-RG,Keratin Repair Leave-In Conditioner,Cleansers,HerbalShine,"Leave-in conditioner that repairs and strengthens hair with each use, reducing breakage.",12.99,Out of Stock
UVO-2757-D,Keratin Repair Leave-In Conditioner,Sun Care,HerbEssence,"Leave-in conditioner that repairs and strengthens hair with each use, reducing breakage.",3.29,Out of Stock
ERC-7179-P,Frizz-Control Hair Serum,Shampoo,HerbEssence,"A lightweight serum designed to smooth hair and eliminate frizz, leaving a sleek finish.",8.99,Out of Stock
ZBB-3080-B,Frizz-Control Hair Serum,Shampoo,HerbEssence,"A lightweight serum designed to smooth hair and eliminate frizz, leaving a sleek finish.",1.29,Discontinued
ETS-2684-QF,Keratin Repair Leave-In Conditioner,Skincare,SmoothSilhouette,"Leave-in conditioner that repairs and strengthens hair with each use, reducing breakage.",49.99,Discontinued
EHX-4023-MK,Vitamin C Face Brightening Serum,Sun Care,ClearCanvas,"Packed with Vitamin C, this serum helps to brighten skin tone and reduce dark spots.",2.99,In Stock
EKQ-8307-EM,SPF 50 Sunscreen Lotion,Cleansers,GentleGrace,"Protect your skin from harmful UV rays with this non-greasy sunscreen, perfect for daily use.",49.99,In Stock
JWS-7787-FI,Tea Tree Oil Scalp Treatment,Skincare,GentleGrace,An invigorating scalp treatment that reduces dandruff and promotes healthy hair growth.,3.89,In Stock
UUR-7782-WJ,Keratin Repair Leave-In Conditioner,Hair Care,HerbEssence,"Leave-in conditioner that repairs and strengthens hair with each use, reducing breakage.",4.99,Out of Stock
XPB-3348-ZC,Vitamin C Face Brightening Serum,Skincare,GlowSkin,"Packed with Vitamin C, this serum helps to brighten skin tone and reduce dark spots.",2.99,In Stock
ZTS-4029-MW,Frizz-Control Hair Serum,Masks,HerbEssence,"A lightweight serum designed to smooth hair and eliminate frizz, leaving a sleek finish.",39.99,In Stock
MSO-1685-X,SPF 50 Sunscreen Lotion,Conditioner,SmoothSilhouette,"Protect your skin from harmful UV rays with this non-greasy sunscreen, perfect for daily use.",99.99,Discontinued
NAS-8907-JE,Rose Water Facial Mist,Shampoo,LushLocks,"A refreshing facial mist to hydrate skin and set makeup, infused with pure rose water.",4.99,In Stock
STV-9652-KV,Hydrating Aloe Vera Gel,Hair Care,DynamicDepth,A soothing gel perfect for calming irritated skin and providing a boost of moisture.,24.99,In Stock
CMF-0731-JD,SPF 50 Sunscreen Lotion,Sun Care,DynamicDepth,"Protect your skin from harmful UV rays with this non-greasy sunscreen, perfect for daily use.",3.49,Discontinued
NTN-0344-IY,Cocoa Butter Body Lotion,Moisturizers,DynamicDepth,Deeply moisturizing lotion made with pure cocoa butter to soothe and soften skin.,29.99,In Stock
NIC-1919-E,Aloe & Cucumber Cooling Eye Gel,Skincare,TwirlTresses,Cooling eye gel that reduces puffiness and soothes tired eyes.,24.99,Out of Stock
IGD-7657-A,Frizz-Control Hair Serum,Shampoo,GentleGrace,"A lightweight serum designed to smooth hair and eliminate frizz, leaving a sleek finish.",3.49,In Stock
XVH-8524-KB,Vitamin C Face Brightening Serum,Shampoo,DynamicDepth,"Packed with Vitamin C, this serum helps to brighten skin tone and reduce dark spots.",24.99,In Stock
UUX-2269-TW,Aloe & Cucumber Cooling Eye Gel,Hair Care,ClearCanvas,Cooling eye gel that reduces puffiness and soothes tired eyes.,1.79,Out of Stock
KSV-8906-B,Charcoal Pore Cleansing Mask,Cleansers,SmoothSilhouette,A detoxifying mask formulated to purify and refine pores using activated charcoal.,24.99,Out of Stock
